Marin{id=0, x=3, y=0, name='Luffy Pouce'} move => Marin{id=0, x=3, y=0, name='Luffy Pouce'}
Marin{id=1, x=3, y=1, name='Jack Teach'} move => Marin{id=1, x=3, y=1, name='Jack Teach'}
Marin{id=0, x=3, y=0, name='Luffy Pouce'} active Oar
Marin{id=2, x=1, y=0, name='Edward Teach'} active Oar
Marin{id=4, x=2, y=0, name='Luffy Pouce'} active Oar
Marin{id=1, x=3, y=1, name='Jack Teach'} active Oar
Marin{id=3, x=1, y=1, name='Tom Pouce'} active Oar
Marin{id=5, x=2, y=1, name='Luffy Teach'} active Oar
Marin{id=0, x=3, y=0, name='Luffy Pouce'} active Oar
Marin{id=0, x=3, y=0, name='Luffy Pouce'} active Oar
Marin{id=2, x=1, y=0, name='Edward Teach'} active Oar
Marin{id=4, x=2, y=0, name='Luffy Pouce'} active Oar
Marin{id=1, x=3, y=1, name='Jack Teach'} active Oar
Marin{id=3, x=1, y=1, name='Tom Pouce'} active Oar
Marin{id=5, x=2, y=1, name='Luffy Teach'} active Oar
Marin{id=1, x=3, y=1, name='Jack Teach'} active Oar
Marin{id=3, x=1, y=1, name='Tom Pouce'} active Oar
